Date(UTC),Price,ERC-20 Unique Address Total Count,ERC-20 Unique Address Receive Count,ERC-20 Unique Address Sent Count,Average Txn Fee (USD),Unique Address Total Count,Unique Address Receive Count,Unique Address Sent Count,Price (Wei),Gas Used,Hash Rate,Total Address,Transaction Count,Uncle Count,VelCur1yr,TxCnt,TxTfrCnt,TxTfrValMeanNtv,SplyAct1d,SplyAct7d,SplyAct30d,NVTAdj,NVTAdjFF,CapMVRVCur,CapMVRVFF
11/17/2015,1,0,0,0,0,1902,1306,1803,56303859554,171866071,535.801,33512,7145,515,1.176210591,7145,6877,277.8216571,7673340.615,13829632.88,17716970.03,41.27568969,38.87425583,2.58968209,2.43901349
11/18/2015,0.99,2,1,1,0,1860,1304,1758,53515892028,195036006,550.5812,33629,7373,489,1.18348653,7373,7088,81.4938452,7332741.751,13841960.9,17684362.99,138.3681972,131.0128082,2.58197813,2.44472511
11/19/2015,0.95,0,0,0,0,1865,1280,1763,54119551224,291565861,552.7532,33765,8876,446,1.186747123,8876,7002,39.41934747,7103241.839,13672490.05,17665141.83,316.7819228,299.9483645,2.45442605,2.32399966
11/20/2015,0.93,2,1,1,0,1764,1068,1685,54384895828,215430072,472.9611,33883,6348,403,1.188943044,6348,6059,32.11661517,3781118.05,13530255.64,17687594.35,434.8373239,411.7381276,2.40600396,2.2781935
11/21/2015,0.97,0,0,0,0,1711,1097,1605,54039631830,200136785,480.0484,33999,6822,422,1.190309307,6822,6560,20.48729437,3900266.693,13456402.42,17717355.55,703.0677402,665.7330767,2.49551433,2.36299625
11/22/2015,0.96,0,0,0,0,2016,1027,1922,53793371733,200785655,480.251,34447,7083,459,1.193291485,7083,6842,37.4237066,3433493.139,7953158.962,17560401.01,352.4476069,333.7384804,2.51501082,2.38150543
11/23/2015,0.94,0,0,0,0,1739,1137,1629,55629754775,233727612,487.9382,34594,8260,483,1.202092078,8260,7017,98.84707758,4117540.436,8309334.176,17575258.38,116.5221079,110.3389609,2.36795249,2.2422991
11/24/2015,0.91,0,0,0,0,1821,1127,1722,58042755370,213080657,486.5758,34812,7152,484,1.206901165,7152,6865,57.34054215,4045885.644,7954951.573,17559246.57,218.0936854,206.5248636,2.3390317,2.21495731
11/25/2015,0.86,0,0,0,0,1711,1123,1625,54235748106,236509015,470.151,34913,7098,464,1.209007356,7098,6830,27.85799195,3856090.218,7707055.727,17500041.07,522.1133132,494.4274647,2.24598819,2.12689127
11/26/2015,0.88,3,2,1,0,1805,1140,1729,53986356287,172083879,470.857,35071,7278,486,1.22153382,7278,7039,138.3754008,4278832.976,5186660.094,18185313.73,80.87709534,76.58997853,2.17251787,2.05735748
11/27/2015,0.87,0,0,0,0,1661,1030,1594,53456555142,173300084,492.9653,35136,6639,528,1.2380854,6639,6276,203.8142179,7435030.018,8243181.201,17268958.64,59.89384408,56.79980109,2.245669,2.12966047
11/28/2015,0.91,4,1,3,0,1652,1047,1584,54312682973,277436869,498.5437,35204,6817,571,1.239281691,6817,6448,19.18415278,7481436.498,8174229.549,17244931.15,739.5048802,701.3167682,2.30586779,2.18679252
